gene_symbol,log2fc,p_value,direction
CWF19L2,-2.426411524,3.25E-33,down
RBM22,2.425716105,8.58E-21,up
UBE2A,2.425213573,7.28E-23,up
CD44,2.424825594,1.79E-11,up
TRBC1,2.424017727,0.000151304,up
PTPN3,2.423869007,3.12E-17,up
MCM2,2.423753517,3.55E-09,up
MFGE8,-2.422915944,6.61E-09,down
P4HA1,2.421946056,2.00E-11,up
AGTR1,-2.421646888,0.001514129,down
RNF146,2.420242203,6.87E-12,up
GNG2,-2.420038545,1.46E-08,down
DHX9,2.419545182,6.56E-14,up
NOSTRIN,-2.419352091,0.000427231,down
GALNT2,2.418779986,8.80E-18,up
RSPRY1,2.418401469,1.42E-20,up
CHML,2.418242727,2.72E-08,up
RP11-196G18.24,2.417942804,3.46E-12,up
ARFRP1,2.41687535,8.05E-24,up
URI1,2.416740084,7.82E-19,up
PRICKLE2,-2.415620147,5.83E-06,down
GPR89A,2.414742343,1.10E-19,up
TDO2,2.414625014,0.000457307,up
C7,-2.414178091,1.15E-06,down
PGP,2.41410642,2.24E-16,up
ETV5,-2.413947084,1.16E-10,down
CPLX1,-2.412693357,1.42E-05,down
ARHGEF15,-2.412689629,5.85E-48,down
TBC1D31,2.412665252,3.88E-08,up
C1orf56,2.412614923,1.44E-12,up
SAYSD1,2.412073755,1.98E-13,up
RNASEH1,2.411936175,3.02E-18,up
ARHGEF28,-2.411440224,1.11E-20,down
COL6A1,2.410549636,4.79E-09,up
NCF2,2.410419,2.76E-07,up
COL3A1,2.406467126,2.15E-09,up
PBDC1,2.406198182,2.95E-18,up
TMPO,2.404958217,2.08E-07,up
FRK,2.404763266,1.29E-05,up
CNRIP1,-2.404632441,2.15E-08,down
DHCR7,2.404469706,9.49E-08,up
LOC101929087,2.40414951,8.81E-21,up
GLRX,2.403846552,1.71E-11,up
EXOSC3,2.401165357,9.64E-16,up
CBX4,2.400708531,3.31E-12,up
PPAPDC1B,2.400158427,2.09E-09,up
ZCCHC10,2.400120517,4.39E-11,up
KIF18B,2.398189867,1.27E-06,up
KLHDC7B,2.398156636,0.009445289,up
H19,-2.397807727,0.000721803,down
SIPA1L2,2.397560552,4.14E-08,up
SNX13,2.397313972,5.12E-24,up
PEG3,-2.396656287,0.011191221,down
FLJ38379,2.396509196,0.004144796,up
CBX5,2.395947524,6.62E-11,up
PEX3,2.394863573,4.61E-14,up
,-2.394366175,4.41E-22,down
TPSAB1,2.394357748,0.00384676,up
UCP2,2.393906937,7.78E-09,up
SPIRE1,2.393581734,9.36E-12,up
GPR124,-2.393515832,2.48E-22,down
,2.393467895,9.92E-16,up
FAM175B,2.392982035,2.49E-19,up
GMDS,2.392595643,1.68E-09,up
ILF2,2.392351881,2.39E-15,up
,2.391912392,2.13E-08,up
AQP7,-2.391546727,3.39E-27,down
,2.391480986,2.07E-11,up
ATP8B1,2.390242203,2.45E-07,up
CNOT3,2.388732727,2.14E-19,up
PSMB7,2.388707497,1.45E-20,up
TIMELESS,2.388558783,3.81E-14,up
UBE4B,2.38818372,6.99E-14,up
PAPD4,2.387361853,1.08E-14,up
CMPK2,2.386888559,1.17E-05,up
RNF14,2.386705538,4.94E-18,up
MYCBP2,2.385781378,9.01E-14,up
MYO1B,2.384297902,5.95E-12,up
EBLN3,2.384147252,4.86E-19,up
PKDCC,-2.384047664,1.72E-10,down
AF070581,-2.383781441,4.63E-10,down
MAOB,-2.383149769,0.004715566,down
,-2.381927217,0.003294377,down
PGGT1B,2.381753469,7.59E-16,up
RMI2,2.380910147,6.82E-07,up
C12orf29,2.380315462,3.26E-11,up
PCSK5,-2.379878028,4.04E-07,down
RCN2,2.379070895,2.39E-19,up
CERS2,2.378837965,7.52E-18,up
CXorf40B,2.377253671,4.10E-15,up
MAP2,-2.376938832,0.000236554,down
,-2.376875853,4.65E-39,down
ACBD3,2.376405972,9.39E-14,up
EFR3A,2.376404105,3.02E-21,up
GLUD2,2.374684105,1.12E-10,up
CAND1,2.373968951,3.30E-19,up
ACTR3,2.372786573,1.74E-27,up
RET,2.372770804,0.00758375,up
LEPROTL1,2.370379643,1.09E-18,up
SLC39A4,2.370062315,1.12E-06,up
ARRB1,-2.369701091,7.80E-11,down
PNPT1,2.368434986,5.04E-18,up
ARPP19,2.367846972,8.81E-19,up
ISG15,2.366929692,7.15E-06,up
PPP5C,2.366487545,4.83E-26,up
GAS2L3,2.366219636,1.50E-09,up
STX6,2.365976888,7.70E-20,up
ACVRL1,-2.365760189,3.42E-15,down
WDFY3,2.36521549,1.98E-13,up
PPM1A,2.362859734,8.48E-17,up
TRNT1,2.362223972,4.58E-18,up
SNX21,-2.360871098,1.71E-11,down
CEMIP,2.360531713,0.00010286,up
ARID5A,-2.359294371,4.04E-23,down
DEDD,2.358356434,2.90E-10,up
STAM,2.357940797,7.03E-25,up
AK2,2.357323182,1.01E-16,up
ICAM1,2.357305273,2.92E-06,up
SLC13A2,-2.356536028,1.90E-14,down
LIG4,2.356465147,1.82E-16,up
UBE2L3,2.35490365,1.67E-21,up
RB1CC1,2.354894287,4.99E-18,up
DDX59,2.354622734,5.28E-20,up
CTIF,-2.354367035,1.98E-12,down
NRIP1,2.354171531,2.09E-09,up
IRF2BP2,2.353829601,1.63E-21,up
SVIP,2.353439846,3.36E-08,up
NEK6,2.35144086,6.62E-16,up
SOX4,2.351029091,5.88E-19,up
NID2,2.350909182,8.25E-08,up
RSBN1,2.350571755,3.20E-17,up
CRIM1,-2.349780217,1.53E-12,down
NATD1,-2.348972986,1.45E-12,down
E2F8,2.348727406,9.69E-06,up
TRIQK,2.348023951,6.69E-08,up
ZNF471,-2.347570755,6.94E-15,down
PPM1F,-2.347528783,2.52E-19,down
PDLIM3,-2.347476545,6.99E-05,down
GSTM2,-2.347246371,6.30E-07,down
MTURN,-2.346485196,2.78E-08,down
GLRX3,2.34648314,2.35E-18,up
MRPS10,2.34604765,5.22E-20,up
MCMBP,2.345960867,1.86E-21,up
SFPQ,2.345504007,1.12E-32,up
DYNC1H1,2.345008594,1.22E-14,up
,2.34485949,1.58E-08,up
PECAM1,-2.344550944,5.46E-15,down
CREBZF,2.343952895,1.57E-20,up
IGLC1,2.343768434,0.020326175,up
NAA25,2.342879497,5.48E-19,up
EGFL7,-2.341203112,5.50E-13,down
MMP12,2.340660497,0.011267571,up
TXLNG,2.340483406,2.11E-12,up
BCL2,-2.339635944,0.001347827,down
PMP22,-2.339605182,9.58E-06,down
PTGR1,2.339290469,7.71E-09,up
TNFSF12-TNFSF13,2.339098699,7.60E-10,up
ZMYM6,2.338160434,4.64E-14,up
,-2.338024706,1.50E-16,down
NUCB1,2.33767149,2.97E-17,up
CMTM6,2.337352629,2.32E-15,up
ERBB2IP,2.337216371,5.50E-23,up
SPIN1,2.33510014,5.39E-21,up
IDE,2.334771371,2.11E-11,up
SLC29A1,2.334476098,9.98E-07,up
DNAJA4,2.333038965,3.94E-11,up
PRPS2,2.332652657,5.07E-11,up
IGHG1,2.332495937,0.000904742,up
5-Mar,2.331161056,1.40E-18,up
,2.331111154,7.37E-13,up
GGTA1P,-2.329741517,4.69E-08,down
IFI44,2.329017986,8.87E-05,up
ASCC3,2.328595077,2.08E-16,up
SLC16A1,2.328206455,0.000272638,up
MR1,2.327961308,1.03E-12,up
HSPA13,2.327458455,6.31E-14,up
YME1L1,2.32501393,4.81E-13,up
MRAS,-2.324404685,1.13E-08,down
DCAF13,2.324233007,1.13E-14,up
ANKRD17,2.323301217,7.10E-22,up
MAGI2-AS3,-2.321866685,3.44E-29,down
LMNB1,2.321364622,3.40E-08,up
IER5L,2.320800965,4.59E-11,up
KIAA1683,-2.320782818,4.16E-17,down
GBP5,2.320613979,0.000293869,up
,-2.32056979,2.11E-27,down
KIAA1456,-2.320299993,1.28E-15,down
CP,2.320198497,0.034171207,up
SH3KBP1,-2.319945762,1.91E-10,down
ADAM19,2.319715343,3.77E-09,up
MRPL3,2.319605266,4.46E-24,up
DKC1,2.319222755,5.46E-14,up
VRK2,2.318728077,1.58E-14,up
CSTF1,2.318607657,4.22E-18,up
GSE1,2.318575797,2.04E-11,up
GEMIN7,2.318539699,1.73E-19,up
MSANTD3,2.317894217,5.16E-12,up
RAB11FIP1,2.317817986,3.10E-07,up
PDE3B,-2.31746842,7.98E-15,down
CSRNP2,2.316336357,3.75E-16,up
LINS,2.316250203,7.17E-19,up
PSPC1,2.315760727,6.07E-08,up
SMARCA5,2.314987084,9.42E-24,up
TMEM216,2.314518545,6.46E-16,up
UBE2Z,2.314326503,5.29E-14,up
IGK,2.314236497,0.008812369,up
SRSF7,2.313872063,4.32E-15,up
TBCE,2.313618594,3.66E-18,up
LUC7L,2.313455734,4.54E-19,up
LCP2,2.312063385,6.86E-09,up
SF3A2,-2.311838413,2.85E-13,down
NLK,2.31118165,1.11E-09,up
CFH,-2.311041769,2.06E-07,down
TFAM,2.310987357,2.35E-15,up
PEX13,2.310701615,2.34E-24,up
EXPH5,2.309724217,2.97E-07,up
ISG20L2,2.30818042,7.32E-23,up
TMC5,2.307417839,0.001788637,up
,2.305537021,2.67E-14,up
DNASE2,2.305000203,3.13E-19,up
FAM162B,-2.304997021,1.30E-20,down
FUNDC2,-2.304537993,6.12E-47,down
RIPK1,2.304457448,6.69E-17,up
HELLS,2.304321469,9.87E-07,up
CENPL,2.304236322,6.34E-06,up
IQGAP1,2.304060308,2.36E-09,up
CD163,2.304057783,0.000100267,up
TROAP,2.303406077,5.72E-10,up
,2.303357224,4.98E-09,up
DNM1L,2.302746245,4.34E-19,up
LOC100507577,2.30242065,5.79E-14,up
PSMC3,2.301307615,3.23E-23,up
ATP6V0B,2.301264014,1.96E-21,up
PRR14,2.301023308,1.37E-15,up
,-2.300978112,1.43E-07,down
ADAMTS2,2.300050049,9.93E-07,up
ADSS,2.299817049,3.66E-23,up
ATM,2.298285748,5.74E-09,up
GTF2H2,2.297980238,8.97E-10,up
SCO1,2.297688413,8.03E-17,up
ITCH,2.29745179,8.37E-17,up
ZNF217,2.296640944,4.06E-17,up
9-Sep,2.296503231,3.12E-09,up
AGPAT9,-2.295832028,2.09E-07,down
PDP1,2.294095196,4.15E-07,up
LOC286437,-2.293697713,2.34E-20,down
TFDP1,2.293504818,5.20E-13,up
ARMC1,2.292788566,1.66E-17,up
NMT2,-2.292741385,1.28E-07,down
,2.29259328,3.14E-07,up
WDR48,2.292380336,6.21E-16,up
TUBGCP4,2.291326846,5.03E-16,up
NAT8L,-2.291126357,1.39E-24,down
HLTF,2.290518007,5.82E-17,up
LURAP1L,2.288973768,0.000192665,up
ZFYVE21,2.287845448,5.42E-10,up
AKTIP,2.287644517,3.11E-16,up
GLDN,-2.286955895,4.49E-09,down
LAMP3,2.286210986,0.003224401,up
RUNX1-IT1,2.28597107,4.01E-10,up
HSPE1-MOB4,2.285696007,7.69E-25,up
HIPK2,2.28460035,1.84E-06,up
ATL3,2.283896622,3.35E-10,up
PITX1,2.283648371,8.32E-06,up
EMP1,-2.282472573,1.87E-11,down
COQ4,2.281088434,1.79E-09,up
MYBL1,2.280162168,0.002946015,up
INTS6,2.280009811,9.70E-20,up
,-2.279862084,0.00104824,down
UBR7,2.279592252,5.20E-14,up
MIR7110,2.27930551,2.68E-15,up
,2.279090252,3.10E-15,up
PARD6B,2.278540608,5.80E-06,up
SAMD12,2.276593042,3.32E-06,up
DDIT4,2.27571407,2.71E-07,up
MED8,2.275638664,4.86E-19,up
CBX7,-2.274078636,5.04E-12,down
FASTKD5,2.27296151,6.37E-18,up
RNASE4,-2.27234172,9.79E-07,down
TSTA3,2.27205728,3.39E-13,up
SDAD1,2.271268014,1.40E-17,up
FAM13A-AS1,-2.270857944,2.64E-11,down
RAB2A,2.270839916,2.19E-19,up
CDK7,2.270675308,2.44E-17,up
MAGT1,2.269557119,9.99E-22,up
MTMR4,2.267755259,6.59E-14,up
,-2.267624979,1.63E-18,down
TMED8,2.266841126,2.35E-19,up
RAP1A,-2.266827713,1.98E-21,down
FMOD,-2.266593853,2.82E-05,down
RDH10,2.265597049,0.00141455,up
ERGIC2,2.265230692,3.42E-20,up
PSMG1,2.264802566,1.14E-09,up
NUDT4,2.264648741,7.27E-13,up
MCAM,-2.264574916,2.80E-13,down
NBR1,2.264311951,4.22E-13,up
TENC1,-2.264077846,1.75E-07,down
RELA,2.264058357,1.69E-20,up
VPS72,2.263653105,6.66E-15,up
SNORA29,2.263626622,3.01E-09,up
ATP6V1G1,2.263568203,4.15E-21,up
FAM149A,-2.262225811,2.62E-09,down
WIPI1,2.262225559,2.55E-14,up
DUS4L,2.261799147,4.15E-14,up
TCF7L2,-2.261693895,5.57E-16,down
PSMD1,2.261515818,1.41E-27,up
NEDD4L,-2.261228629,4.03E-05,down
VANGL1,2.261225692,8.22E-11,up
PREX2,-2.260868231,2.78E-21,down
PDIA6,2.260015888,5.33E-17,up
MMP14,2.259884105,6.45E-08,up
CALM1,2.258889406,1.98E-12,up
RARS2,2.258287923,6.04E-20,up
PDE4B,2.256827608,0.000114349,up
MAML2,-2.255574685,3.32E-08,down
TMEM45A,2.255462238,6.72E-05,up
CA2,2.253764406,0.001049479,up
C4orf33,2.252732867,3.70E-08,up
FAM64A,2.252441559,5.39E-05,up
PLXDC2,2.252092014,1.10E-05,up
LINC00266-1,-2.251015196,3.95E-22,down
PROSER1,2.250907594,8.45E-15,up
LOC643733,-2.250760252,6.98E-15,down
ANGEL2,2.250747077,1.57E-12,up
GSTM1,-2.249405692,3.32E-07,down
CAV2,-2.249241811,4.10E-06,down
HNRNPH1,2.248565888,8.35E-09,up
MIS18BP1,2.248374399,7.54E-15,up
R3HDM4,2.247682238,1.16E-23,up
CPNE3,2.246954951,2.12E-11,up
,-2.24684079,3.85E-23,down
KIAA1377,-2.246716818,8.29E-07,down
,-2.245842552,4.44E-11,down
CD248,-2.245181657,7.03E-12,down
THSD7A,-2.245004839,1.27E-11,down
FKBP11,2.244655049,5.86E-17,up
ANGPT1,-2.244534147,2.97E-06,down
CDC27,2.244515685,2.84E-16,up
RAB3GAP1,2.244119224,1.93E-23,up
HNRNPAB,2.243802923,2.78E-24,up
TXNDC9,2.243368392,1.81E-22,up
,-2.242547713,4.68E-31,down
RBBP4,2.241410755,2.47E-20,up
TAF9B,2.241286175,1.00E-06,up
,-2.241139902,2.82E-06,down
STARD10,2.240290385,8.78E-06,up
TMEM237,-2.240074245,3.89E-08,down
AP1AR,2.240009531,5.95E-15,up
,-2.239548063,2.66E-18,down
IRX5,2.239125895,8.16E-08,up
SMAD4,2.238343301,5.16E-16,up
CDS2,2.238099517,8.35E-15,up
ZBTB38,2.237411713,2.27E-15,up
MAPKAPK5,2.237324392,8.98E-24,up
,2.236449958,2.25E-08,up
PROL1,-2.235908014,3.93E-08,down
KLF6,2.235403916,1.36E-10,up
RAD23B,2.235034434,2.62E-10,up
EXOC5,2.234982343,5.50E-24,up
PLSCR4,-2.234973713,1.24E-06,down
CXorf36,-2.234641238,4.41E-19,down
KCNN4,-2.233916413,0.000658483,down
PTRF,-2.233787,1.91E-12,down
PGM3,2.231833552,4.40E-15,up
MYEOV,-2.23119221,1.81E-08,down
LRRC75A-AS1,-2.230343441,7.10E-13,down
APPL2,2.230108287,6.37E-08,up
SKIL,2.229529063,5.25E-22,up
GJA9,2.228789713,6.56E-18,up
TIE1,-2.228065643,2.86E-08,down
ITSN1,-2.227894692,1.45E-14,down
PSD3,2.227687483,0.002138145,up
MED1,2.227117357,4.26E-05,up
CYP4Z2P,2.226319161,0.014377678,up
SPPL2A,2.225205315,9.28E-17,up
FAR2,2.224557035,0.000937667,up
SLC27A1,-2.22450758,3.54E-14,down
6-Mar,2.223003965,6.31E-16,up
AP1S2,2.222106671,5.35E-10,up
DCBLD1,2.221222755,1.08E-08,up
,2.220962769,3.70E-09,up
,-2.220176643,1.44E-13,down
CCL8,2.21965979,0.000413637,up
KNSTRN,2.219647902,4.75E-09,up
,2.219387629,1.82E-15,up
HIST1H1C,2.219260245,5.56E-05,up
LOC100505874,-2.218779049,9.92E-06,down
PCNX,-2.218247986,1.14E-16,down
DCHS1,-2.218169636,5.67E-08,down
TUBB2A,2.218003965,1.88E-14,up
SMIM7,2.217827049,5.08E-18,up
TEAD4,2.217783378,3.97E-06,up
SGOL2,2.214258441,3.78E-07,up
KCTD3,2.213909357,3.93E-12,up
ZNF677,-2.213011028,1.24E-06,down
IPO5,2.212394231,7.23E-14,up
6-Sep,2.212134441,6.61E-10,up
EEF1A1,-2.209299413,3.88E-07,down
BRD2,2.208654713,2.52E-25,up
VIPR1,-2.208347734,1.75E-08,down
PIK3R3,2.208262993,1.15E-09,up
DSEL,-2.208137154,1.79E-08,down
C1orf106,2.208047,0.002617381,up
LSM10,2.207998042,6.56E-19,up
NFATC3,2.207962329,4.59E-15,up
AKAP1,2.207941916,1.52E-08,up
ADAM9,2.207772154,6.55E-05,up
MIS18A,2.207528224,8.99E-12,up
NAV2,-2.206542958,2.75E-05,down
SLC35E1,2.205707084,1.33E-21,up
RRBP1,2.205010063,3.20E-16,up
ZEB2,-2.204101091,1.64E-11,down
SLC35A3,2.20353107,4.21E-13,up
MRPL15,2.202716364,1.22E-12,up
ICAM2,-2.20227172,2.37E-09,down
CTB-167B5.2,-2.202023238,2.30E-06,down
,-2.20198072,3.01E-06,down
AP5M1,2.201847825,8.05E-18,up
MRPL38,2.201290566,8.43E-14,up
ZNF706,2.201267727,1.15E-16,up
PDLIM4,-2.201139713,1.29E-05,down
TPRKB,2.200733434,2.61E-19,up
BID,2.199995455,1.32E-06,up
TLN2,-2.199615161,6.02E-15,down
TMCO1,2.199457587,1.15E-26,up
ENOPH1,2.199288839,2.06E-21,up
LARP6,-2.19894658,1.47E-10,down
CTBP1,2.195912979,2.28E-12,up
FAM13A,-2.195428657,7.56E-11,down
GSTCD,2.193636601,4.35E-12,up
MAP3K13,2.193630629,1.73E-10,up
REEP1,2.19347335,0.003449724,up
CLSTN2,-2.191463007,0.033639215,down
S100A11P1,2.191435993,6.16E-18,up
NAIP,2.190170378,3.29E-05,up
PTP4A2,2.188729301,1.16E-16,up
DAB2,2.188650098,4.23E-09,up
RUSC1-AS1,2.188246308,1.46E-10,up
NONO,2.188206259,1.01E-21,up
SRSF4,2.188077497,1.37E-09,up
CASZ1,2.187466986,2.00E-06,up
IDO1,2.18712,0.014619465,up
MIR6716,-2.186465336,2.22E-21,down
IDH3A,2.185763287,7.30E-14,up
CELSR1,2.184832308,0.000267745,up
,-2.18459386,2.73E-32,down
RMDN1,2.184473308,2.17E-16,up
SPDYE1,-2.183532608,7.49E-29,down
TM9SF1,2.182953021,1.22E-17,up
LOC440354,2.182574951,3.04E-11,up
MS4A4A,2.182285469,6.46E-05,up
MST1,-2.182200566,3.12E-07,down
PVRL4,2.181789147,2.02E-06,up
CTBP1-AS2,-2.181784909,8.52E-28,down
FAM3B,-2.181649483,0.013819751,down
LLGL2,2.180890161,9.50E-09,up
ELMOD2,2.180793497,6.99E-08,up
OPN3,2.180652427,2.01E-07,up
MPZL1,2.180343615,3.19E-08,up
PDK3,2.180111986,5.37E-06,up
LSM2,2.180013,8.57E-15,up
ATRX,2.179417762,1.56E-18,up
DPY19L2P2,-2.178463455,7.97E-17,down
SMAD7,2.178208441,7.00E-13,up
LIMS1,2.177968203,2.64E-14,up
PLLP,-2.17746142,2.63E-07,down
PEG10,2.176926979,0.009526862,up
GSN,-2.17658379,3.75E-20,down
,2.176400441,6.28E-17,up
RPL17,2.174945483,9.84E-16,up
IRS2,-2.174671385,1.83E-06,down
ADNP,2.173644462,2.30E-25,up
SENP3,2.173572203,6.58E-14,up
CBWD1,2.173474329,4.82E-21,up
RMND1,2.172365587,1.23E-06,up
ANKRD12,2.171807986,1.85E-13,up
NSFL1C,2.171622748,8.69E-16,up
PLAGL1,-2.171327287,3.70E-07,down
ALDH1L1,-2.17031572,3.83E-49,down
DERL1,2.170082112,1.06E-19,up
CPA3,2.169896035,0.012278785,up
JAM3,-2.169405455,3.50E-08,down
FNIP1,2.168142021,2.06E-08,up
PTPRB,-2.167892105,2.82E-06,down
ZBTB20,-2.167264441,7.50E-08,down
MTX2,2.167236741,3.36E-21,up
SRSF6,2.166856622,7.53E-06,up
SEL1L3,2.166483343,0.00020048,up
CACYBP,2.165993587,2.78E-15,up
RARA,-2.165944531,5.72E-15,down
PREP,2.164604755,5.88E-16,up
QKI,2.163724636,5.76E-10,up
DNA2,2.163155119,5.94E-08,up
,2.162209154,1.63E-08,up
RYBP,2.161867014,4.34E-20,up
FLJ31306,2.161318175,1.85E-10,up
TOP1,2.160946154,1.67E-12,up
RYK,2.160124951,3.44E-13,up
ZNF398,2.158778049,1.49E-16,up
TMEM183A,2.157530077,1.02E-24,up
C10orf128,-2.15716272,7.74E-08,down
,-2.157033622,1.45E-05,down
CAPZB,2.156630573,6.11E-29,up
SEC24D,2.156549531,6.24E-13,up
LPXN,2.156270084,7.29E-07,up
NUMA1,2.155900189,4.61E-10,up
GZMB,2.155860189,0.005014432,up
YBX1,2.155400643,9.44E-12,up
PALLD,2.154598021,6.96E-08,up
AMMECR1,2.154321203,3.75E-10,up
,2.154320035,8.78E-14,up
SNX3,2.154110615,7.27E-15,up
STK38L,2.15367558,4.19E-10,up
HSD17B6,2.153600503,2.20E-08,up
ME3,-2.153287734,1.35E-06,down
IMPACT,2.153089021,2.36E-10,up
PNRC2,2.152732273,1.68E-11,up
STAC2,-2.152726811,2.22E-07,down
,2.152026378,1.10E-09,up
PDE6D,2.151772573,5.25E-23,up
RBM12,2.151519378,2.61E-32,up
TCF19,2.150619364,6.18E-06,up
KLF15,-2.150249839,1.42E-26,down
ELF4,2.15007293,6.97E-12,up
GART,2.149785608,1.03E-18,up
NME7,2.149406993,7.36E-05,up
MARCKSL1,2.149348154,1.68E-18,up
,-2.149228951,2.30E-40,down
MYO15B,-2.149118902,2.07E-06,down
GRHL1,2.149107909,2.30E-05,up
KLHL31,-2.148752028,1.49E-12,down
ENAH,2.148469357,1.57E-19,up
PP14571,2.147669105,0.006350444,up
EZH1,-2.147047825,4.63E-21,down
RASSF6,-2.146288671,2.38E-06,down
IPW,-2.146052867,5.37E-06,down
TFPI,-2.145574056,7.55E-06,down
GAS6,-2.145343168,4.73E-08,down
LUC7L3,2.145054573,2.85E-08,up
AK094644,-2.14336307,6.64E-20,down
IPO7,2.142621238,3.12E-22,up
CHEK1,2.142460881,5.54E-05,up
PRPF18,2.142179643,1.05E-17,up
USP10,2.141850741,6.68E-15,up
CDV3,2.140547476,7.83E-07,up
RECQL,2.140048364,5.20E-15,up
TBC1D24,2.139905573,1.22E-08,up
TP53AIP1,-2.13952149,4.23E-37,down
RPL37A,-2.139487937,4.14E-27,down
IRS1,-2.138669545,4.22E-06,down
ENTPD1,2.138586399,4.00E-07,up
PARP14,2.138343049,3.55E-09,up
EDEM3,2.137953427,2.54E-20,up
METTL8,2.137836601,9.68E-17,up
EMP2,2.13721479,4.28E-11,up
OIP5,2.137090958,7.61E-05,up
CALML3,-2.136791091,7.43E-08,down
FLRT2,-2.135050769,4.05E-05,down
CLIP4,-2.13411028,4.28E-06,down
LSR,2.132968168,8.18E-10,up
CA3,-2.132809042,6.46E-21,down
FGF2,-2.13223865,2.91E-13,down
THUMPD3,2.132108413,1.20E-18,up
LOC101927705,2.132004895,8.61E-11,up
KIAA1147,2.131765734,6.47E-14,up
LOC374443,2.13163158,8.04E-08,up
,2.131318119,1.01E-19,up
SNRPB,2.130518965,4.56E-18,up
PIP5K1A,2.130295168,4.65E-18,up
C20orf24,2.129132238,1.58E-19,up
CRIP2,2.128652972,4.78E-05,up
BORA,2.127842909,2.83E-09,up
OLFML2B,2.127529657,2.99E-08,up
ILF3,2.12734635,6.57E-18,up
,2.127339098,1.77E-13,up
ACTL6A,2.126908441,1.99E-18,up
SLC35D1,2.126249,1.13E-14,up
ARV1,2.126033664,3.30E-20,up
TTL,2.125174301,1.40E-21,up
ESYT2,2.125145552,1.49E-13,up
ARAP3,-2.125089098,4.10E-12,down
PLA2G7,2.124825783,0.000182132,up
SBK1,2.123625559,1.41E-10,up
CHMP1B,2.12349328,4.48E-17,up
DNAJC9,2.12345379,1.01E-15,up
IRF9,2.12249879,1.43E-10,up
SLC16A6,2.122413622,0.005104026,up
MAPK9,2.122248727,4.36E-14,up
FAM210A,2.121914406,6.44E-13,up
RAB3IP,2.121051427,5.51E-08,up
GATAD1,2.120892804,6.48E-17,up
TPSB2,2.120521357,0.005403645,up
IL1RN,2.117570196,0.000148635,up
ANKRD10-IT1,2.117355441,1.76E-13,up
ANKIB1,2.116608035,5.18E-20,up
TRMT6,2.116454448,1.24E-10,up
GMCL1,2.115183042,1.67E-14,up
MID1,-2.115071315,0.000319775,down
DDX19A,2.114146266,3.04E-12,up
ZNF462,-2.113778951,8.10E-05,down
BCL2L1,2.113699993,8.33E-11,up
MT1M,-2.113613406,1.34E-13,down
NUP155,2.112689462,9.81E-11,up
PREX1,2.112461881,3.14E-06,up
PDSS1,2.112317972,4.20E-07,up
PTGER3,-2.111768014,0.001261836,down
MTUS1,-2.10947972,7.50E-09,down
TTYH3,2.10901828,1.98E-12,up
RNASE6,2.108005853,6.94E-06,up
TIMM50,2.107725154,2.61E-14,up
IQCG,2.107622587,0.001708038,up
RBM17,2.106225245,8.86E-14,up
MIF4GD,2.106064559,7.73E-09,up
PPP6C,2.105093685,1.62E-19,up
SHMT2,2.105056329,8.22E-15,up
SNAPC3,2.10481214,2.49E-11,up
CD52,2.104310021,6.91E-05,up
NADK2,2.103704035,8.75E-10,up
TPM3,2.103221818,1.38E-32,up
DAP,2.10300265,9.25E-16,up
TMTC3,2.102770587,6.12E-16,up
PAK1,2.10276865,9.76E-11,up
ADIPOR1,2.102332385,5.10E-23,up
LINC00312,-2.101845245,3.46E-05,down
IMPAD1,2.101105706,1.74E-14,up
,-2.100543552,3.98E-37,down
C12orf75,2.100391476,5.51E-07,up
H2AFX,2.100342503,1.74E-11,up
TPM2,-2.098451594,1.03E-08,down
,-2.098083965,2.32E-67,down
TRIM38,2.097928923,3.93E-09,up
SPTAN1,-2.097830706,2.42E-14,down
GORASP2,2.097211615,4.15E-28,up
,-2.097115776,4.24E-07,down
ANXA8,-2.09687751,0.001242884,down
ZIC1,2.095118336,0.017406402,up
MCCC2,2.095112315,1.64E-05,up
CELF1,2.094952392,4.87E-15,up
PPL,-2.094713524,2.00E-06,down
EFCAB14,2.094544483,2.04E-19,up
FANCF,2.094488098,1.40E-11,up
DEFB124,-2.093639154,1.25E-15,down
BAG1,2.092606685,3.87E-05,up
LOC101929597,2.091133315,1.24E-18,up
ERBB2,2.090638238,0.017115383,up
CLIC5,-2.090126357,2.57E-13,down
AMIGO2,-2.088929336,0.000322412,down
,-2.088840168,6.59E-09,down
PI4KB,2.088720252,2.60E-15,up
ACCS,-2.087417364,7.73E-16,down
TRA2B,2.087248811,6.95E-20,up
GLIPR2,2.087063217,1.86E-05,up
CCDC117,2.08680914,2.40E-13,up
ARL4A,-2.086106287,1.96E-12,down
NFATC2IP,2.085752448,2.03E-19,up
PPP1R15B,2.085196573,3.50E-25,up
NOTCH4,-2.08494849,4.02E-18,down
,2.084655315,1.78E-09,up
,2.082954392,1.05E-06,up
,2.08290972,1.65E-08,up
PARP1,2.082662441,1.55E-20,up
TAF4,2.081895021,8.44E-19,up
TMED7,2.081173643,2.89E-15,up
GRAMD1C,-2.081081301,1.54E-06,down
PRPS1,2.081043769,4.72E-07,up
EIF2AK1,2.080883993,4.02E-27,up
ZNF204P,-2.080796762,1.45E-11,down
YIPF6,2.080338678,1.47E-15,up
OSMR,2.079995224,1.94E-05,up
AKAP2,-2.079743014,1.32E-14,down
FIGNL1,2.079659049,2.47E-10,up
SLAIN2,2.078441881,1.03E-09,up
