gene_symbol,log2fc,p_value,direction
UBE2N,4.630429636,1.73E-40,up
SPP1,4.624422035,9.77E-15,up
SCGB1D2,-4.621521804,0.000341732,down
AKR1C2,-4.620509741,9.78E-12,down
GDE1,4.620146902,6.58E-33,up
ASPN,4.617536545,3.47E-07,up
CCNB2,4.613036671,7.06E-14,up
LOC100506558,-4.610368322,3.14E-12,down
SQLE,4.582284119,1.44E-24,up
FCGR3A,4.574271965,2.29E-11,up
AOC3,-4.564561392,6.04E-19,down
TRAM1,4.56011651,4.32E-34,up
LRRN4CL,-4.552813573,1.87E-30,down
PLAUR,4.550870154,6.65E-25,up
ACKR1,-4.545553699,1.51E-10,down
WISP1,4.541564322,2.04E-12,up
MAD2L1,4.536553734,7.51E-16,up
ATG5,4.535684895,9.90E-22,up
KIF2C,4.535472049,8.95E-11,up
PTP4A1,4.532684483,3.93E-22,up
UBE2S,4.531732014,9.18E-21,up
ZBTB16,-4.528930028,4.13E-17,down
FXYD1,-4.524017902,4.90E-41,down
CA4,-4.521878119,4.55E-52,down
GPIHBP1,-4.518850028,5.80E-58,down
BHLHE40,4.51774207,2.09E-15,up
IGF1,-4.514647098,1.98E-08,down
,-4.495191448,3.62E-28,down
C1S,4.493307462,5.76E-11,up
IGHM,4.481242657,1.90E-06,up
APOD,-4.477662434,3.58E-06,down
2-Sep,4.477306175,1.44E-31,up
GDI2,4.47458158,6.64E-29,up
,-4.47235658,3.07E-15,down
ECT2,4.472290804,3.79E-25,up
PDK4,-4.465359832,1.38E-11,down
CCT2,4.465070797,6.29E-29,up
RANBP9,4.458448811,3.27E-33,up
MELK,4.455504147,5.35E-14,up
GALNT7,4.45536214,4.00E-15,up
LAMP1,4.452758387,3.44E-21,up
PPIF,4.450424049,1.18E-25,up
ACVR1C,-4.446759811,9.95E-29,down
PRPF4,4.441245196,1.87E-38,up
CTHRC1,4.437212741,9.57E-28,up
EZH2,4.435274014,2.52E-18,up
PSENEN,4.434879119,1.48E-36,up
MIR21,4.434251329,1.05E-25,up
PPP1R1A,-4.430052664,4.13E-13,down
RHOA,4.427823168,5.73E-26,up
MS4A7,4.422240692,1.40E-14,up
MSH6,4.420970545,8.04E-23,up
S100A8,4.419414098,0.00148069,up
FMO2,-4.417702664,1.70E-10,down
SORBS1,-4.405735566,1.16E-13,down
SDHC,4.400946035,5.15E-30,up
SOX10,-4.399110622,1.67E-07,down
MMP1,4.39627428,4.70E-05,up
CD24,4.382587091,1.01E-15,up
DAZAP2,4.375177434,1.11E-29,up
CDH11,4.366133608,5.67E-16,up
PGK1,4.36600851,1.34E-29,up
WAC,4.362795825,3.50E-26,up
LOC100190986,4.360544923,5.42E-19,up
PRR11,4.348196427,2.49E-10,up
ACLY,4.344235231,2.18E-35,up
FNDC1,4.336509888,2.43E-15,up
NPR1,-4.332004839,1.78E-38,down
PIP,-4.331788531,0.001574739,down
HBA1,-4.323446021,1.42E-10,down
DTL,4.314644713,4.09E-15,up
IL13RA1,4.313241867,1.70E-15,up
MIR6787,4.311839832,3.75E-16,up
MRPL42,4.308715944,1.63E-33,up
ANLN,4.307077881,7.55E-11,up
FAM83D,4.303482769,1.09E-08,up
DSG2,4.294306154,1.65E-17,up
SCD5,-4.292080476,8.68E-57,down
LMOD1,-4.282877811,6.38E-20,down
CLDN3,4.281697119,2.26E-11,up
M6PR,4.273575126,3.21E-34,up
GABRP,-4.271221175,0.000989888,down
GMFB,4.268449,2.52E-36,up
PIP4K2A,4.266496308,2.89E-19,up
COPG2IT1,-4.263988881,1.20E-39,down
LARP4B,4.261475329,7.33E-30,up
TMEM30A,4.256966133,3.15E-17,up
OGN,-4.255870888,1.58E-06,down
EBF1,-4.255775455,7.14E-18,down
ARFGEF1,4.253743965,2.62E-25,up
OAS1,4.242723552,7.03E-13,up
,4.240660524,4.12E-17,up
RAPGEF3,-4.239293587,2.39E-29,down
CLDN11,-4.235534867,4.51E-12,down
COL1A1,4.224900811,6.55E-16,up
PAMR1,-4.223505357,1.95E-24,down
KRT5,-4.218717943,7.06E-06,down
ARPC4,4.217248,4.57E-29,up
CENPA,4.208710713,1.47E-09,up
CSNK2A1,4.208318203,6.00E-26,up
TSHZ2,-4.203367713,1.18E-18,down
FHL1,-4.200822322,8.54E-14,down
SCGB2A2,-4.200736804,0.005334299,down
IGH,4.200487657,3.34E-06,up
TTK,4.196453476,7.04E-08,up
INMT,-4.189397993,5.07E-32,down
PCOLCE2,-4.189183538,5.37E-09,down
PATL1,4.18002458,9.66E-20,up
CRYAB,-4.170276224,1.34E-08,down
TRIP13,4.160655273,3.07E-11,up
EIF4A2,4.159385371,5.60E-15,up
LRRC15,4.157601497,2.97E-09,up
ZNF146,4.157048133,5.60E-19,up
HBB,-4.146897762,1.96E-10,down
KDELR3,4.146267322,1.52E-19,up
PBK,4.143237497,8.28E-11,up
,4.139126643,8.89E-10,up
PI15,-4.134868804,1.38E-06,down
TP63,-4.128422189,1.29E-12,down
CCNG2,4.127700762,1.46E-11,up
AURKA,4.127079951,3.98E-13,up
IFI44L,4.126759077,5.53E-09,up
CEACAM6,4.125121033,0.001148955,up
RGS1,4.125116643,1.97E-13,up
MFAP2,4.116275014,3.22E-22,up
SLC39A6,4.115309231,4.78E-09,up
SETD5,4.111690336,3.37E-25,up
C16orf13,4.110939082,4.59E-17,up
ELF5,-4.107475909,5.41E-05,down
KDELR1,4.101367308,2.17E-31,up
CES1,-4.100517734,4.83E-12,down
